"term","fullTerm"
"dbpedia-owl:soccerLeagueSeason","http://dbpedia.org/ontology/soccerLeagueSeason"
"rsctx:season","http://softeng.polito.it/rsctx#season"
"dbpedia-owl:season","http://dbpedia.org/ontology/season"
"ebucore:hasSeason","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#hasSeason"
"pext:Season","http://www.ontotext.com/proton/protonext#Season"
"san-lod:luogoTesto","http://dati.san.beniculturali.it/SAN/luogoTesto"
"pproc:isNegotiable","http://contsem.unizar.es/def/sector-publico/pproc#isNegotiable"
"music:Contrafagotto","http://www.kanzaki.com/ns/music#Contrafagotto"
"dogont:GoToTrackCommand","http://elite.polito.it/ontologies/dogont.owl#GoToTrackCommand"
"api:contentNegotiation","http://purl.org/linked-data/api/vocab#contentNegotiation"
"music:ContrafagottoPlayer","http://www.kanzaki.com/ns/music#ContrafagottoPlayer"
"datex:TpegOtherPointDescriptor","http://vocab.datex.org/terms#TpegOtherPointDescriptor"
"datex:accessAssignedAmongOthers","http://vocab.datex.org/terms#accessAssignedAmongOthers"
"datex:tpegOtherPointDescriptorType","http://vocab.datex.org/terms#tpegOtherPointDescriptorType"
"api:ContentNegotiationStrategy","http://purl.org/linked-data/api/vocab#ContentNegotiationStrategy"
"dbpedia-owl:AustralianFootballLeague","http://dbpedia.org/ontology/AustralianFootballLeague"
"dbpedia-owl:SoccerClubSeason","http://dbpedia.org/ontology/SoccerClubSeason"
"dbpedia-owl:FootballLeagueSeason","http://dbpedia.org/ontology/FootballLeagueSeason"
"dbpedia-owl:NationalFootballLeagueSeason","http://dbpedia.org/ontology/NationalFootballLeagueSeason"
"sor:assistedBy","http://purl.org/net/soron/assistedBy"
"gvp:ulan1308_assisted_by","http://vocab.getty.edu/ontology#ulan1308_assisted_by"
"akt:Research-Assistant-In-Academia","http://www.aktors.org/ontology/portal#Research-Assistant-In-Academia"
"con:assistant","http://www.w3.org/2000/10/swap/pim/contact#assistant"
"pext:hasSister","http://www.ontotext.com/proton/protonext#hasSister"
"gdprt:AssistInComplyingWithRights","https://w3id.org/GDPRtEXT#AssistInComplyingWithRights"
"sor:assistantFor","http://purl.org/net/soron/assistantFor"
"music:Contrabassist","http://www.kanzaki.com/ns/music#Contrabassist"
"dbpedia-owl:assistantPrincipal","http://dbpedia.org/ontology/assistantPrincipal"
"datex:RoadsideAssistance","http://vocab.datex.org/terms#RoadsideAssistance"
"dbpedia-owl:Name","http://dbpedia.org/ontology/Name"
"dbpedia-owl:NationalFootballLeagueEvent","http://dbpedia.org/ontology/NationalFootballLeagueEvent"
"dbpedia-owl:InternationalFootballLeagueEvent","http://dbpedia.org/ontology/InternationalFootballLeagueEvent"
"pext:AmericanFootballLeague","http://www.ontotext.com/proton/protonext#AmericanFootballLeague"
"pext:CanadianFootballLeague","http://www.ontotext.com/proton/protonext#CanadianFootballLeague"
"pext:AustralianFootballLeague","http://www.ontotext.com/proton/protonext#AustralianFootballLeague"
"gvp:ulan2573_founded_by","http://vocab.getty.edu/ontology#ulan2573_founded_by"
"gvp:ulan1421_founded_by","http://vocab.getty.edu/ontology#ulan1421_founded_by"
"dbpedia-owl:foundedBy","http://dbpedia.org/ontology/foundedBy"
"con:fullName","http://www.w3.org/2000/10/swap/pim/contact#fullName"
"ov:fullName","http://open.vocab.org/terms/fullName"
"nas:manufacturerFullName","https://data.nasa.gov/ontologies/atmonto/NAS#manufacturerFullName"
"arp:hasFullFileName","http://www.arpenteur.org/ontology/Arpenteur.owl#hasFullFileName"
"dbpedia-owl:club","http://dbpedia.org/ontology/club"
"lgdo:Club","http://linkedgeodata.org/ontology/Club"
"dbpedia-owl:managerClub","http://dbpedia.org/ontology/managerClub"
"lgdo:Nightclub","http://linkedgeodata.org/ontology/Nightclub"
"lgdo:SocialClub","http://linkedgeodata.org/ontology/SocialClub"
"dbpedia-owl:RugbyClub","http://dbpedia.org/ontology/RugbyClub"
"gc:foundedOn","http://www.oegov.org/core/owl/gc#foundedOn"
"deps:on","http://ontologi.es/doap-deps#on"
"cc:deprecatedOn","http://creativecommons.org/ns#deprecatedOn"
"lgdo:Hill","http://linkedgeodata.org/ontology/Hill"
"rdarel2:foundedOrganization","http://metadataregistry.org/uri/schema/RDARelationshipsGR2/foundedOrganization"
"rdau:P60687","http://rdaregistry.info/Elements/u/P60687"
"gvp:ulan1422_founded","http://vocab.getty.edu/ontology#ulan1422_founded"
"rdaa:P50017","http://rdaregistry.info/Elements/a/P50017"
"rdaa:P50062","http://rdaregistry.info/Elements/a/P50062"
"rdaa:P50112","http://rdaregistry.info/Elements/a/P50112"
"dbpedia-owl:formerName","http://dbpedia.org/ontology/formerName"
"tl:beginsAtDateTime","http://purl.org/NET/c4dm/timeline.owl#beginsAtDateTime"
"tl:endsAtDateTime","http://purl.org/NET/c4dm/timeline.owl#endsAtDateTime"
"s4ee:MACaddress","https://w3id.org/saref4ee#MACaddress"
"m3lite:Capacitance","http://purl.org/iot/vocab/m3-lite#Capacitance"
"aws:FrequencyDomainReflectometryCapacitance","http://purl.oclc.org/NET/ssnx/meteo/aws#FrequencyDomainReflectometryCapacitance"
"m3lite:Farad","http://purl.org/iot/vocab/m3-lite#Farad"
"aws:ResistiveAneroid","http://purl.oclc.org/NET/ssnx/meteo/aws#ResistiveAneroid"
"aws:CapacitiveThinFilmPolymer","http://purl.oclc.org/NET/ssnx/meteo/aws#CapacitiveThinFilmPolymer"
"aws:AneroidDisplacementTransducer","http://purl.oclc.org/NET/ssnx/meteo/aws#AneroidDisplacementTransducer"
"aws:CapacitiveAluminumOxide","http://purl.oclc.org/NET/ssnx/meteo/aws#CapacitiveAluminumOxide"
"aws:CapacitiveAneroid","http://purl.oclc.org/NET/ssnx/meteo/aws#CapacitiveAneroid"
"cro:Record","http://rhizomik.net/ontologies/copyrightonto.owl#Record"
"vra:Record","http://simile.mit.edu/2003/10/ontologies/vraCore3#Record"
"sio:SIO_000088","http://semanticscience.org/resource/SIO_000088"
"gd:Record","http://reference.data.gov/def/govdata/Record"
"dcat:record","http://www.w3.org/ns/dcat#record"
"dcndl:record","http://ndl.go.jp/dcndl/terms/record"
"gd:record","http://reference.data.gov/def/govdata/record"
"mo:Record","http://purl.org/ontology/mo/Record"
"dbpedia-owl:tournamentRecord","http://dbpedia.org/ontology/tournamentRecord"
"ui:size","http://www.w3.org/ns/ui#size"
"meb:field","http://rdf.myexperiment.org/ontologies/base/field"
"dbpedia-owl:field","http://dbpedia.org/ontology/field"
"raul:size","http://purl.org/NET/raul#size"
"mrel:fld","http://id.loc.gov/vocabulary/relators/fld"
"am:size","http://open-services.net/ns/asset#size"
"va:Size","http://code-research.eu/ontology/visual-analytics#Size"
"geom:Surface","http://data.ign.fr/def/geometrie#Surface"
"geosp:BBC_Ecozone","http://rdf.geospecies.org/ont/geospecies#BBC_Ecozone"
"gml:Surface","http://www.opengis.net/ont/gml#Surface"
"sf:Surface","http://www.opengis.net/ont/sf#Surface"
"schema:surface","http://schema.org/surface"
"gm:Surface","http://def.seegrid.csiro.au/isotc211/iso19107/2003/geometry#Surface"
"ostop:Surface","http://www.ordnancesurvey.co.uk/ontology/Topography/v0.1/Topography.owl#Surface"
"topo:SurfaceDEau","http://data.ign.fr/def/topo#SurfaceDEau"
"dbpedia-owl:ground","http://dbpedia.org/ontology/ground"
"lgdo:RecreationGround","http://linkedgeodata.org/ontology/RecreationGround"
"atm:groundSpeed","https://data.nasa.gov/ontologies/atmonto/ATM#groundSpeed"
"topo:TerrainDeSport","http://data.ign.fr/def/topo#TerrainDeSport"
"dbpedia-owl:CricketGround","http://dbpedia.org/ontology/CricketGround"
"eepsa:BelowGroundLevelSpace","https://w3id.org/eepsa#BelowGroundLevelSpace"
"topo:TypeDeTerrainDeSport","http://data.ign.fr/def/topo#TypeDeTerrainDeSport"
"atm:GroundStopTMI","https://data.nasa.gov/ontologies/atmonto/ATM#GroundStopTMI"
"atm:GroundDelayProgramTMI","https://data.nasa.gov/ontologies/atmonto/ATM#GroundDelayProgramTMI"
"topo:typeDeTerrainDeSport","http://data.ign.fr/def/topo#typeDeTerrainDeSport"
"dbpedia-owl:reopened","http://dbpedia.org/ontology/reopened"
"dbpedia-owl:officialOpenedBy","http://dbpedia.org/ontology/officialOpenedBy"
"dogont:NetworkOpenedNotification","http://elite.polito.it/ontologies/dogont.owl#NetworkOpenedNotification"
"juso.kr:MetropolitanAutonomousCity","http://rdfs.co/juso/kr/MetropolitanAutonomousCity"
"cro:instrument","http://rhizomik.net/ontologies/copyrightonto.owl#instrument"
"saref:Window",NA
"saref:BuildingObject",NA
"lyou:opendays","http://purl.org/linkingyou/opendays"
"dbpedia-owl:usOpenDouble","http://dbpedia.org/ontology/usOpenDouble"
"dbpedia-owl:australiaOpenDouble","http://dbpedia.org/ontology/australiaOpenDouble"
"gr:OpeningHoursSpecification","http://purl.org/goodrelations/v1#OpeningHoursSpecification"
"gr:hasOpeningHoursDayOfWeek","http://purl.org/goodrelations/v1#hasOpeningHoursDayOfWeek"
"gr:hasOpeningHoursSpecification","http://purl.org/goodrelations/v1#hasOpeningHoursSpecification"
"dicom:ApplicatorOpening","http://purl.org/healthcarevocab/v1#ApplicatorOpening"
"nlon:openingYear","http://lod.nl.go.kr/ontology/openingYear"
"dbpedia-owl:openingYear","http://dbpedia.org/ontology/openingYear"
"dicom:Tag.300A.0433","http://purl.org/healthcarevocab/v1#Tag.300A.0433"
"oh:OpeningHours","http://semweb.mmlab.be/ns/oh#OpeningHours"
"dbpedia-owl:openingDate","http://dbpedia.org/ontology/openingDate"
"dbpedia-owl:openingFilm","http://dbpedia.org/ontology/openingFilm"
"gold:head","http://purl.org/linguistics/gold/head"
"schema:coach","http://schema.org/coach"
"dbpedia-owl:Coach","http://dbpedia.org/ontology/Coach"
"swrl:head","http://www.w3.org/2003/11/swrl#head"
"dbpedia-owl:coach","http://dbpedia.org/ontology/coach"
"nif:head","http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#head"
"dbpedia-owl:head","http://dbpedia.org/ontology/head"
"dbpedia-owl:coachSeason","http://dbpedia.org/ontology/coachSeason"
"dbpedia-owl:coachClub","http://dbpedia.org/ontology/coachClub"
"dbpedia-owl:draftLeague","http://dbpedia.org/ontology/draftLeague"
"dbpedia-owl:prospectLeague","http://dbpedia.org/ontology/prospectLeague"
"pext:TennisLeague","http://www.ontotext.com/proton/protonext#TennisLeague"
"dbpedia-owl:champion","http://dbpedia.org/ontology/champion"
"dbpedia-owl:soccerLeagueWinner","http://dbpedia.org/ontology/soccerLeagueWinner"
"dbpedia-owl:soccerTournamentLastChampion","http://dbpedia.org/ontology/soccerTournamentLastChampion"
"dbpedia-owl:SnookerChamp","http://dbpedia.org/ontology/SnookerChamp"
"dbpedia-owl:championInSingleFemale","http://dbpedia.org/ontology/championInSingleFemale"
"dbpedia-owl:championInSingleMale","http://dbpedia.org/ontology/championInSingleMale"
"dbpedia-owl:championInDouble","http://dbpedia.org/ontology/championInDouble"
"dbpedia-owl:championInDoubleMale","http://dbpedia.org/ontology/championInDoubleMale"
"dbpedia-owl:championInMixedDouble","http://dbpedia.org/ontology/championInMixedDouble"
"dbpedia-owl:championInSingle","http://dbpedia.org/ontology/championInSingle"
"bibo:Website","http://purl.org/ontology/bibo/Website"
"schema:WebSite","http://schema.org/WebSite"
"dbpedia-owl:Website","http://dbpedia.org/ontology/Website"
"lib:WebSite","http://purl.org/library/WebSite"
"sio:SIO_000296","http://semanticscience.org/resource/SIO_000296"
"nfo:Website","http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website"
"pmlp:Website","http://inference-web.org/2.0/pml-provenance.owl#Website"
"passim:isWebSiteAccessibilityForDisabledPerson","http://data.lirmm.fr/ontologies/passim#isWebSiteAccessibilityForDisabledPerson"
"fabio:WebSite","http://purl.org/spar/fabio/WebSite"
"swpo:editedBy","http://sw-portal.deri.org/ontologies/swportal#editedBy"
"saws:isEditedBy","http://purl.org/saws/ontology#isEditedBy"
"cito:isCreditedBy","http://purl.org/spar/cito/isCreditedBy"
"smg:Status.remark","http://ns.cerise-project.nl/energy/def/cim-smartgrid#Status.remark"
"ru:scope_note","http://purl.org/imbi/ru-meta.owl#scope_note"
"sio:SIO_001167","http://semanticscience.org/resource/SIO_001167"
"s4ee:valueSource","https://w3id.org/saref4ee#valueSource"
"saws:Marginalia","http://purl.org/saws/ontology#Marginalia"
"ocd:parentCountry","http://dati.camera.it/ocd/parentCountry"
"gn:parentCountry","http://www.geonames.org/ontology#parentCountry"
"ignf:epsgID","http://data.ign.fr/def/ignf#epsgID"
"lsweb:hasEPSGCode","http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#hasEPSGCode"
"smg:CoordinateSystem.crsUrn","http://ns.cerise-project.nl/energy/def/cim-smartgrid#CoordinateSystem.crsUrn"
"akt:produces-output","http://www.aktors.org/ontology/portal#produces-output"
"ssno:Output","http://www.w3.org/ns/ssn/Output"
"dbpedia-owl:output","http://dbpedia.org/ontology/output"
"frapo:Output","http://purl.org/cerif/frapo/Output"
"wfdesc:Output","http://purl.org/wf4ever/wfdesc#Output"
"tsnc:output","http://purl.org/net/tsnchange#output"
"ctrl:Output","https://w3id.org/ibp/CTRLont#Output"
"odrl:output","http://www.w3.org/ns/odrl/2/output"
"cogs:Output","http://vocab.deri.ie/cogs#Output"
"ssn:Output","http://purl.oclc.org/NET/ssnx/ssn#Output"
"http:Parameter","http://www.w3.org/2011/http#Parameter"
"ignf:parameter","http://data.ign.fr/def/ignf#parameter"
"ruto:Parameter","http://rdfunit.aksw.org/ns/core#Parameter"
"ruto:parameter","http://rdfunit.aksw.org/ns/core#parameter"
"ispra:Parameter","http://dati.isprambiente.it/ontology/core#Parameter"
"om:parameter","http://def.seegrid.csiro.au/isotc211/iso19156/2011/observation#parameter"
"sh:parameter","http://www.w3.org/ns/shacl#parameter"
"sh:Parameter","http://www.w3.org/ns/shacl#Parameter"
"dul:Parameter","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Parameter"
"sio:SIO_000144","http://semanticscience.org/resource/SIO_000144"
"owl:versionInfo","http://www.w3.org/2002/07/owl#versionInfo"
"dbpedia-owl:flashPoint","http://dbpedia.org/ontology/flashPoint"
"dbpedia-owl:mouthPosition","http://dbpedia.org/ontology/mouthPosition"
"dbpedia-owl:nationalTeamMatchPoint","http://dbpedia.org/ontology/nationalTeamMatchPoint"
"datex:dangerousGoodsFlashPoint","http://vocab.datex.org/terms#dangerousGoodsFlashPoint"
"spfood:ChineseCuisineRecipe","http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#ChineseCuisineRecipe"
"dicom:TreatmentMachineSequence","http://purl.org/healthcarevocab/v1#TreatmentMachineSequence"
"dicom:SequenceItem.TreatmentMachineSequence","http://purl.org/healthcarevocab/v1#SequenceItem.TreatmentMachineSequence"
"fabio:usesCalendar","http://purl.org/spar/fabio/usesCalendar"
"lemon:Word","http://lemon-model.net/lemon#Word"
"gold:Classifier","http://purl.org/linguistics/gold/Classifier"
"crm:E56_Language","http://www.cidoc-crm.org/cidoc-crm/E56_Language"
"ecrm:E56_Language","http://erlangen-crm.org/current/E56_Language"
"stac:JavaSecurityApi","http://securitytoolbox.appspot.com/stac#JavaSecurityApi"
"gvp:aat2428_produces","http://vocab.getty.edu/ontology#aat2428_produces"
"gvp:aat2427_produced_by","http://vocab.getty.edu/ontology#aat2427_produced_by"
"gvp:aat2554_reflects","http://vocab.getty.edu/ontology#aat2554_reflects"
"gvp:aat2555_reflected_in","http://vocab.getty.edu/ontology#aat2555_reflected_in"
"ecrm:E22_Man-Made_Object","http://erlangen-crm.org/current/E22_Man-Made_Object"
"dbpedia-owl:greekName","http://dbpedia.org/ontology/greekName"
"spfood:GreekCuisineRecipe","http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#GreekCuisineRecipe"
"gvp:aat2882_reflect","http://vocab.getty.edu/ontology#aat2882_reflect"
"gvp:aat2881_reflected_in","http://vocab.getty.edu/ontology#aat2881_reflected_in"
"gvp:aat2878_preceded-source_for","http://vocab.getty.edu/ontology#aat2878_preceded-source_for"
"dbpedia-owl:chorusCharacterInPlay","http://dbpedia.org/ontology/chorusCharacterInPlay"
"gvp:aat2879_followed-developed_from","http://vocab.getty.edu/ontology#aat2879_followed-developed_from"
"iol:metaphoricallyBlendsWith","http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl#metaphoricallyBlendsWith"
"locn:geographicName","http://www.w3.org/ns/locn#geographicName"
"gvp:aat2557_reflects","http://vocab.getty.edu/ontology#aat2557_reflects"
"schema:QualitativeValue","http://schema.org/QualitativeValue"
"gr:QualitativeValue","http://purl.org/goodrelations/v1#QualitativeValue"
"dbpedia-owl:dressCode","http://dbpedia.org/ontology/dressCode"
"akt:addresses-generic-area-of-interest","http://www.aktors.org/ontology/portal#addresses-generic-area-of-interest"
"con:Address","http://www.w3.org/2000/10/swap/pim/contact#Address"
"akt:Postal-Address","http://www.aktors.org/ontology/portal#Postal-Address"
"akt:has-postal-address","http://www.aktors.org/ontology/portal#has-postal-address"
"trait:Void","http://contextus.net/ontology/ontomedia/ext/common/trait#Void"
"dbpedia-owl:glycemicIndex","http://dbpedia.org/ontology/glycemicIndex"
"fabio:Index","http://purl.org/spar/fabio/Index"
"rdarel:index","http://rdvocab.info/RDARelationshipsWEMI/index"
"m3lite:Index","http://purl.org/iot/vocab/m3-lite#Index"
"doco:Index","http://purl.org/spar/doco/Index"
"uby:index","http://purl.org/olia/ubyCat.owl#index"
"edac:Index","http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-edac.owl#Index"
"dbpedia-owl:HumanDevelopmentIndex","http://dbpedia.org/ontology/HumanDevelopmentIndex"
"osspr:contains","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/contains"
"osspr:containedBy","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/containedBy"
"osspr:disjoint","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/disjoint"
"osspr:touches","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/touches"
"osspr:twentyKMGridReference","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/twentyKMGridReference"
"osspr:oneKMGridReference","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/oneKMGridReference"
"mrel:tch","http://id.loc.gov/vocabulary/relators/tch"
"dcterms:mediator","http://purl.org/dc/terms/mediator"
"teach:Teacher","http://linkedscience.org/teach/ns#Teacher"
"teach:teacher","http://linkedscience.org/teach/ns#teacher"
"rdarole:teacher","http://rdvocab.info/roles/teacher"
"agrelon:hasTeacher","http://d-nb.info/standards/elementset/agrelon#hasTeacher"
"vivo:TeacherRole","http://vivoweb.org/ontology/core#TeacherRole"
"rdarole:teacherExpression","http://rdvocab.info/roles/teacherExpression"
"teach:teacherOf","http://linkedscience.org/teach/ns#teacherOf"
"dbpedia-owl:headteacher","http://dbpedia.org/ontology/headteacher"
"aiiso:Programme","http://purl.org/vocab/aiiso/schema#Programme"
"aiiso:KnowledgeGrouping","http://purl.org/vocab/aiiso/schema#KnowledgeGrouping"
"aiiso:Faculty","http://purl.org/vocab/aiiso/schema#Faculty"
"aiiso:code","http://purl.org/vocab/aiiso/schema#code"
"aiiso:teaches","http://purl.org/vocab/aiiso/schema#teaches"
"dbpedia-owl:wineRegion","http://dbpedia.org/ontology/wineRegion"
"dbpedia-owl:notableWine","http://dbpedia.org/ontology/notableWine"
"lgdo:DisusedRailway","http://linkedgeodata.org/ontology/DisusedRailway"
"frbrer:P2003","http://iflastandards.info/ns/fr/frbr/frbrer/P2003"
"dbpedia-owl:soccerTournamentMostSteady","http://dbpedia.org/ontology/soccerTournamentMostSteady"
"interval:ordinalDayOfWeek","http://reference.data.gov.uk/def/intervals/ordinalDayOfWeek"
"dbpedia-owl:soccerTournamentMostSuccesfull","http://dbpedia.org/ontology/soccerTournamentMostSuccesfull"
"postcode:PostcodeArea","http://data.ordnancesurvey.co.uk/ontology/postcode/PostcodeArea"
"postcode:postcode","http://data.ordnancesurvey.co.uk/ontology/postcode/postcode"
"dbpedia-owl:zipCode","http://dbpedia.org/ontology/zipCode"
"bag:postcode","http://bag.basisregistraties.overheid.nl/def/bag#postcode"
"postcode:PostcodeUnit","http://data.ordnancesurvey.co.uk/ontology/postcode/PostcodeUnit"
"br:creator","http://vocab.deri.ie/br#creator"
"dbpedia-owl:creator","http://dbpedia.org/ontology/creator"
"pmlp:hasAuthorList","http://inference-web.org/2.0/pml-provenance.owl#hasAuthorList"
"lgdo:Nursery","http://linkedgeodata.org/ontology/Nursery"
"lgdo:PlantNursery","http://linkedgeodata.org/ontology/PlantNursery"
"sio:SIO_000046","http://semanticscience.org/resource/SIO_000046"
"vaem:intent","http://www.linkedmodel.org/schema/vaem#intent"
"sio:SIO_000047","http://semanticscience.org/resource/SIO_000047"
"lio:looksLike","http://purl.org/net/lio#looksLike"
"wfm:DataRetrieval","http://purl.org/net/wf-motifs#DataRetrieval"
"wfm:InputAugmentation","http://purl.org/net/wf-motifs#InputAugmentation"
"wfm:hasMotif","http://purl.org/net/wf-motifs#hasMotif"
"wfm:hasWorkflowMotif","http://purl.org/net/wf-motifs#hasWorkflowMotif"
"wfm:CompositeWorkflow","http://purl.org/net/wf-motifs#CompositeWorkflow"
"vann:usageNote","http://purl.org/vocab/vann/usageNote"
"vann:termGroup","http://purl.org/vocab/vann/termGroup"
"vann:changes","http://purl.org/vocab/vann/changes"
"ontosec:HTTP","http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#HTTP"
"ontosec:HTTPS","http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#HTTPS"
"conversion:HTTPHeader","http://purl.org/twc/vocab/conversion/HTTPHeader"
"http:httpVersion","http://www.w3.org/2011/http#httpVersion"
"dita:href","http://purl.org/dita/ns#href"
"d2rq:href","http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#href"
"schema:image","http://schema.org/image"
"swc:holdsRole","http://data.semanticweb.org/ns/swc/ontology#holdsRole"
"schema:startDate","http://schema.org/startDate"
"swc:isPartOf","http://data.semanticweb.org/ns/swc/ontology#isPartOf"
"schema:endDate","http://schema.org/endDate"
"datex:vmsTextImageUrl","http://vocab.datex.org/terms#vmsTextImageUrl"
"datex:backgroundImageUrl","http://vocab.datex.org/terms#backgroundImageUrl"
"dctype:StillImage","http://purl.org/dc/dcmitype/StillImage"
"dbpedia-owl:StillImage","http://dbpedia.org/ontology/StillImage"
"bf:StillImage","http://id.loc.gov/ontologies/bibframe/StillImage"
"fabio:StillImage","http://purl.org/spar/fabio/StillImage"
"rdag1:extentOfStillImage","http://rdvocab.info/Elements/extentOfStillImage"
"rdag1:colourOfStillImage","http://rdvocab.info/Elements/colourOfStillImage"
"rdag1:dimensionsOfStillImage","http://rdvocab.info/Elements/dimensionsOfStillImage"
"rdag1:extentOfStillImageItem","http://rdvocab.info/Elements/extentOfStillImageItem"
"rdag1:dimensionsOfStillImageItem","http://rdvocab.info/Elements/dimensionsOfStillImageItem"
"rdag1:colourOfStillImageExpression","http://rdvocab.info/Elements/colourOfStillImageExpression"
"dbpedia-owl:Infrastructure","http://dbpedia.org/ontology/Infrastructure"
"dbpedia-owl:previousInfrastructure","http://dbpedia.org/ontology/previousInfrastructure"
"cerif:InfrastructureEntity","http://www.eurocris.org/ontologies/cerif/1.3#InfrastructureEntity"
"dbpedia-owl:subsequentInfrastructure","http://dbpedia.org/ontology/subsequentInfrastructure"
"frapo:InfrastructureEntity","http://purl.org/cerif/frapo/InfrastructureEntity"
"topo:InfrastructureTransportEnergie","http://data.ign.fr/def/topo#InfrastructureTransportEnergie"
"nas:AirportInfrastructureComponent","https://data.nasa.gov/ontologies/atmonto/NAS#AirportInfrastructureComponent"
"nas:AirspaceInfrastructureComponent","https://data.nasa.gov/ontologies/atmonto/NAS#AirspaceInfrastructureComponent"
"crsw:has-infrastructure-requirement","http://courseware.rkbexplorer.com/ontologies/courseware#has-infrastructure-requirement"
"bibo:Thesis","http://purl.org/ontology/bibo/Thesis"
"frapo:DataRepository","http://purl.org/cerif/frapo/DataRepository"
"fabio:DataRepository","http://purl.org/spar/fabio/DataRepository"
"acm:H.2.7.1","http://acm.rkbexplorer.com/ontologies/acm#H.2.7.1"
"ov:uses","http://open.vocab.org/terms/uses"
"pmofn:uses","http://premon.fbk.eu/ontology/fn#uses"
"dbpedia-owl:uses","http://dbpedia.org/ontology/uses"
"dk:uses","http://www.data-knowledge.org/dk/uses"
"being:uses","http://contextus.net/ontology/ontomedia/ext/common/being#uses"
"itsmo:uses","http://ontology.it/itsmo/v1#uses"
"odapp:uses","http://vocab.deri.ie/odapp#uses"
"opmw:uses","http://www.opmw.org/ontology/uses"
"conversion:uses_predicate","http://purl.org/twc/vocab/conversion/uses_predicate"
"conversion:uses_class","http://purl.org/twc/vocab/conversion/uses_class"
"pext:FootballMatch","http://www.ontotext.com/proton/protonext#FootballMatch"
"dbpedia-owl:FootballMatch","http://dbpedia.org/ontology/FootballMatch"
"locah:dateCreatedAccumulatedStart","http://data.archiveshub.ac.uk/def/dateCreatedAccumulatedStart"
"gc:startDate","http://www.oegov.org/core/owl/gc#startDate"
"voag:startDate","http://voag.linkedmodel.org/voag#startDate"
"cerif:startDate","http://www.eurocris.org/ontologies/cerif/1.3#startDate"
"ocds:startDate","http://purl.org/onto-ocds/ocds#startDate"
"disco:startDate","http://rdf-vocabulary.ddialliance.org/discovery#startDate"
"xbrll:startDate","https://w3id.org/vocab/xbrll#startDate"
"cis:startDate","http://dati.beniculturali.it/cis/startDate"
"dbpedia-owl:startDate","http://dbpedia.org/ontology/startDate"
"locah:dateCreatedAccumulatedEnd","http://data.archiveshub.ac.uk/def/dateCreatedAccumulatedEnd"
"voag:endDate","http://voag.linkedmodel.org/voag#endDate"
"cerif:endDate","http://www.eurocris.org/ontologies/cerif/1.3#endDate"
"gc:endDate","http://www.oegov.org/core/owl/gc#endDate"
"ocds:endDate","http://purl.org/onto-ocds/ocds#endDate"
"disco:endDate","http://rdf-vocabulary.ddialliance.org/discovery#endDate"
"sio:SIO_000032","http://semanticscience.org/resource/SIO_000032"
"xbrll:endDate","https://w3id.org/vocab/xbrll#endDate"
"dbpedia-owl:endDate","http://dbpedia.org/ontology/endDate"
"mrel:pup","http://id.loc.gov/vocabulary/relators/pup"
"dcndl:publicationPlace","http://ndl.go.jp/dcndl/terms/publicationPlace"
"vivo:placeOfPublication","http://vivoweb.org/ontology/core#placeOfPublication"
"nlon:publicationPlace","http://lod.nl.go.kr/ontology/publicationPlace"
"rdag1:parallelPlaceOfPublication","http://rdvocab.info/Elements/parallelPlaceOfPublication"
"cerif:approvalDate","http://www.eurocris.org/ontologies/cerif/1.3#approvalDate"
"dicom:ApprovalStatus","http://purl.org/healthcarevocab/v1#ApprovalStatus"
"dicom:Tag.300E.0002","http://purl.org/healthcarevocab/v1#Tag.300E.0002"
"voag:ApprovalEvent","http://voag.linkedmodel.org/voag#ApprovalEvent"
"voag:ApprovalProcess","http://voag.linkedmodel.org/voag#ApprovalProcess"
"dicom:InterpretationApprovalDate","http://purl.org/healthcarevocab/v1#InterpretationApprovalDate"
"dicom:SubstanceAdministrationApproval","http://purl.org/healthcarevocab/v1#SubstanceAdministrationApproval"
"voag:hasApprovalProcess","http://voag.linkedmodel.org/voag#hasApprovalProcess"
"dicom:Tag.0044.0004","http://purl.org/healthcarevocab/v1#Tag.0044.0004"
"dicom:Tag.4008.0112","http://purl.org/healthcarevocab/v1#Tag.4008.0112"
"con:birthday","http://www.w3.org/2000/10/swap/pim/contact#birthday"
"mil:deathDay","http://rdf.muninn-project.org/ontologies/military#deathDay"
"ecrm:E7_Activity","http://erlangen-crm.org/current/E7_Activity"
